Location,Vehicle_Type,Vehicle_Color,Vehicle_Model_Year,Registration_State,Driver_Age,Driver_Gender,License_Type,Penalty_Points,Weather_Condition,Road_Condition,License_Validity,Number_of_Passengers,Helmet_Worn,Seatbelt_Worn,Traffic_Light_Status,Speed_Limit,Recorded_Speed,Alcohol_Level,Breathalyzer_Result,Towed,Previous_Violations,day_of_week,hour,Violation_Type
Gujarat,Bus,Grey,1998,Punjab,21,Other,Heavy Vehicle,6,Foggy,Dry,Expired,4,,,Green,80,87,0.0,Positive,Yes,2,5,5,No Helmet
Delhi,Scooter,Red,2002,Gujarat,35,Other,Commercial,0,Cloudy,Potholes,Suspended,5,,Yes,Red,60,72,0.17,Not Conducted,Yes,0,5,23,Drunk Driving
Punjab,Car,Green,2013,Punjab,44,Male,Commercial,1,Rainy,Dry,Valid,5,No,Yes,Yellow,30,93,0.02,Negative,No,5,3,6,Drunk Driving
Gujarat,Truck,Black,2010,Punjab,18,Other,Heavy Vehicle,10,Rainy,Under Construction,Expired,3,Yes,Yes,Red,100,46,0.28,Positive,No,5,4,8,Signal Jumping
Uttar Pradesh,Bike,Blue,2002,Punjab,52,Other,Four-Wheeler,9,Dust Storm,Potholes,Expired,3,,,Yellow,40,82,0.28,Not Conducted,Yes,0,3,2,Drunk Driving
Uttar Pradesh,Car,Yellow,2004,Punjab,57,Male,Commercial,3,Foggy,Potholes,Suspended,3,Yes,No,Red,30,68,0.5,Negative,No,1,1,19,Signal Jumping
Delhi,Bus,Black,2014,Gujarat,30,Other,Two-Wheeler,8,Rainy,Wet,Valid,5,,No,Red,50,71,0.45,Not Conducted,Yes,0,3,3,Drunk Driving
Maharashtra,Bike,Silver,2010,Uttar Pradesh,60,Male,Commercial,8,Dust Storm,Under Construction,Valid,5,No,No,Yellow,80,90,0.35,Positive,No,2,3,18,No Helmet
West Bengal,Auto Rickshaw,Blue,1999,Punjab,59,Other,Two-Wheeler,10,Rainy,Under Construction,Suspended,2,,,Green,50,30,0.15,Negative,Yes,0,4,10,No Helmet
Maharashtra,Scooter,Grey,2000,Punjab,22,Other,Heavy Vehicle,9,Rainy,Potholes,Valid,5,No,,Red,100,52,0.46,Not Conducted,Yes,4,4,8,Over-speeding
Delhi,Car,White,2015,Punjab,62,Male,Commercial,0,Cloudy,Under Construction,Valid,2,No,,Green,50,24,0.11,Not Conducted,No,4,0,17,Overloading
Tamil Nadu,Auto Rickshaw,Blue,2005,Maharashtra,41,Other,Commercial,0,Cloudy,Slippery,Valid,2,No,,Green,80,80,0.39,Not Conducted,Yes,0,0,2,Drunk Driving
Delhi,Truck,White,1997,Punjab,21,Other,Two-Wheeler,5,Dust Storm,Slippery,Valid,3,,Yes,Yellow,80,109,0.29,Negative,Yes,0,5,9,Drunk Driving
West Bengal,Scooter,Blue,2000,Gujarat,47,Other,Commercial,1,Clear,Potholes,Suspended,2,Yes,,Yellow,60,58,0.49,Negative,No,2,2,12,Wrong Parking
Tamil Nadu,Auto Rickshaw,Silver,2001,Delhi,29,Male,Four-Wheeler,0,Foggy,Potholes,Expired,1,Yes,Yes,Green,100,93,0.32,Positive,No,2,2,4,No Helmet
Uttar Pradesh,Car,Yellow,2012,Uttar Pradesh,30,Other,Commercial,2,Foggy,Slippery,Valid,5,,Yes,Red,40,78,0.28,Not Conducted,No,3,6,4,Wrong Parking
Uttar Pradesh,Bike,Red,2022,Tamil Nadu,31,Female,Commercial,9,Foggy,Potholes,Valid,4,No,,Red,80,55,0.02,Positive,No,3,6,23,Wrong Parking
Tamil Nadu,Truck,Red,2017,Maharashtra,55,Male,Four-Wheeler,3,Cloudy,Slippery,Suspended,3,Yes,No,Green,100,70,0.01,Negative,Yes,3,0,23,Driving Without License
Punjab,Truck,Blue,2010,Gujarat,52,Male,Two-Wheeler,2,Foggy,Slippery,Suspended,5,No,,Green,50,116,0.24,Positive,No,1,5,11,Overloading
Gujarat,Bus,Green,2021,West Bengal,70,Male,Heavy Vehicle,1,Rainy,Under Construction,Expired,2,No,No,Yellow,80,39,0.48,Negative,No,2,1,9,Wrong Parking
Uttar Pradesh,Bus,Yellow,2012,Punjab,45,Male,Commercial,6,Rainy,Dry,Suspended,3,Yes,No,Yellow,40,116,0.09,Positive,No,0,3,19,Wrong Parking
Maharashtra,Car,Blue,2017,West Bengal,25,Other,Two-Wheeler,5,Rainy,Under Construction,Expired,3,No,No,Green,80,81,0.09,Negative,No,5,6,10,No Helmet
Maharashtra,Bike,Blue,2005,Delhi,73,Other,Two-Wheeler,1,Foggy,Slippery,Expired,5,,Yes,Green,30,111,0.39,Negative,No,0,1,4,Overloading
Uttar Pradesh,Car,Silver,2005,Uttar Pradesh,18,Female,Learner,2,Cloudy,Wet,Expired,5,Yes,No,Green,80,40,0.17,Not Conducted,Yes,0,2,18,Over-speeding
Punjab,Scooter,Silver,2010,Tamil Nadu,32,Female,Commercial,4,Rainy,Dry,Valid,4,,No,Green,40,48,0.45,Negative,Yes,2,0,0,Driving Without License
Gujarat,Auto Rickshaw,Grey,2022,Gujarat,58,Female,Learner,4,Clear,Potholes,Expired,4,,No,Yellow,50,54,0.47,Positive,No,0,3,17,Overloading
Punjab,Bike,Silver,2007,West Bengal,48,Other,Two-Wheeler,1,Cloudy,Under Construction,Expired,4,No,Yes,Green,80,91,0.48,Positive,No,0,2,0,Signal Jumping
Maharashtra,Scooter,White,2001,Gujarat,55,Other,Four-Wheeler,3,Foggy,Wet,Suspended,3,,,Yellow,60,112,0.31,Negative,Yes,3,1,4,No Seatbelt
Tamil Nadu,Truck,Blue,2010,Delhi,69,Other,Learner,4,Dust Storm,Potholes,Valid,5,,Yes,Green,60,53,0.02,Negative,Yes,1,0,15,Driving Without License
Uttar Pradesh,Bus,Yellow,2022,Uttar Pradesh,67,Male,Four-Wheeler,10,Foggy,Wet,Valid,2,Yes,No,Yellow,50,29,0.15,Positive,No,4,0,13,No Seatbelt
Karnataka,Scooter,Silver,2011,Karnataka,41,Female,Heavy Vehicle,1,Cloudy,Dry,Expired,3,No,Yes,Red,80,30,0.09,Positive,Yes,2,6,15,No Seatbelt
Uttar Pradesh,Scooter,Green,2012,Delhi,50,Female,Two-Wheeler,8,Foggy,Under Construction,Expired,1,No,Yes,Red,30,55,0.01,Not Conducted,No,4,6,8,No Helmet
Delhi,Auto Rickshaw,Yellow,2015,Maharashtra,67,Female,Commercial,3,Clear,Under Construction,Suspended,1,,,Yellow,30,97,0.09,Positive,Yes,1,0,19,Wrong Parking
Uttar Pradesh,Bike,Silver,2014,Delhi,20,Other,Heavy Vehicle,5,Clear,Potholes,Suspended,4,No,,Red,30,82,0.42,Positive,Yes,2,2,20,Over-speeding
Tamil Nadu,Auto Rickshaw,Blue,1995,Tamil Nadu,42,Male,Commercial,10,Dust Storm,Under Construction,Suspended,3,,,Yellow,60,59,0.46,Not Conducted,Yes,2,3,2,Drunk Driving
Uttar Pradesh,Bike,Black,2020,Maharashtra,51,Female,Two-Wheeler,7,Clear,Slippery,Valid,3,,,Yellow,30,72,0.26,Not Conducted,No,0,2,2,Signal Jumping
Karnataka,Bus,Blue,2014,Tamil Nadu,56,Female,Learner,8,Clear,Under Construction,Valid,4,No,,Red,60,90,0.47,Negative,Yes,0,2,5,Using Mobile Phone
West Bengal,Scooter,Grey,2022,Karnataka,30,Other,Learner,7,Cloudy,Under Construction,Expired,4,No,Yes,Yellow,30,94,0.04,Positive,No,3,2,5,Using Mobile Phone
Tamil Nadu,Car,Green,2000,Delhi,56,Female,Heavy Vehicle,9,Clear,Potholes,Suspended,1,No,No,Green,30,108,0.46,Not Conducted,Yes,5,2,21,Over-speeding
Punjab,Scooter,Grey,2021,Punjab,73,Other,Heavy Vehicle,10,Clear,Under Construction,Valid,2,Yes,,Green,80,75,0.24,Positive,Yes,1,6,19,No Helmet
Uttar Pradesh,Truck,Green,1999,Karnataka,34,Female,Learner,9,Rainy,Slippery,Suspended,1,No,No,Green,80,37,0.09,Negative,Yes,5,5,16,Driving Without License
Tamil Nadu,Auto Rickshaw,Silver,2017,Uttar Pradesh,65,Female,Commercial,10,Rainy,Potholes,Suspended,3,Yes,Yes,Red,50,32,0.31,Not Conducted,Yes,3,0,10,Using Mobile Phone
Delhi,Truck,Red,2007,West Bengal,24,Male,Heavy Vehicle,7,Foggy,Slippery,Expired,4,,Yes,Yellow,80,80,0.08,Not Conducted,No,0,6,11,No Helmet
Punjab,Bike,Grey,2013,Delhi,44,Male,Two-Wheeler,5,Clear,Wet,Valid,4,Yes,Yes,Green,50,32,0.3,Not Conducted,No,4,4,4,Overloading
Uttar Pradesh,Car,Blue,1995,Uttar Pradesh,29,Male,Heavy Vehicle,1,Rainy,Slippery,Valid,2,Yes,Yes,Yellow,100,20,0.38,Negative,No,4,1,11,Driving Without License
Karnataka,Truck,Blue,2010,Tamil Nadu,35,Male,Learner,4,Dust Storm,Dry,Suspended,2,,No,Yellow,30,73,0.08,Not Conducted,Yes,0,5,12,Overloading
Karnataka,Truck,Blue,2003,West Bengal,66,Other,Four-Wheeler,0,Rainy,Potholes,Suspended,5,Yes,No,Green,30,27,0.48,Positive,No,0,4,9,Using Mobile Phone
Punjab,Bike,Green,2001,Delhi,32,Male,Learner,0,Rainy,Potholes,Valid,4,No,No,Green,60,106,0.19,Positive,Yes,3,4,9,Drunk Driving
Gujarat,Scooter,Blue,2005,Maharashtra,18,Male,Heavy Vehicle,7,Cloudy,Wet,Valid,3,,,Green,50,90,0.01,Positive,No,1,6,10,No Seatbelt
Gujarat,Car,Silver,2012,Gujarat,25,Female,Learner,2,Rainy,Under Construction,Expired,1,No,Yes,Yellow,80,91,0.16,Not Conducted,Yes,2,0,10,Using Mobile Phone
Uttar Pradesh,Bus,Silver,2016,Maharashtra,32,Male,Learner,10,Rainy,Potholes,Suspended,1,No,No,Red,50,116,0.22,Not Conducted,No,0,0,15,No Helmet
Uttar Pradesh,Scooter,Black,1995,Maharashtra,47,Other,Heavy Vehicle,2,Cloudy,Dry,Suspended,3,Yes,Yes,Red,30,94,0.17,Negative,No,4,1,21,Signal Jumping
Maharashtra,Car,Grey,2020,Uttar Pradesh,44,Female,Learner,9,Clear,Wet,Expired,5,No,No,Green,60,56,0.15,Positive,Yes,2,6,16,Overloading
Gujarat,Car,Blue,2019,Karnataka,48,Other,Four-Wheeler,6,Dust Storm,Dry,Expired,1,Yes,,Yellow,60,79,0.09,Not Conducted,No,4,4,17,No Seatbelt
Tamil Nadu,Car,White,2017,Uttar Pradesh,51,Other,Commercial,5,Rainy,Under Construction,Suspended,2,No,Yes,Yellow,50,25,0.23,Positive,Yes,2,2,3,Drunk Driving
Gujarat,Bus,Grey,2021,West Bengal,60,Male,Learner,3,Clear,Slippery,Valid,4,,Yes,Red,60,63,0.05,Not Conducted,Yes,3,6,21,Signal Jumping
Maharashtra,Scooter,Red,2019,Maharashtra,21,Other,Commercial,8,Rainy,Potholes,Suspended,4,No,,Red,50,80,0.09,Positive,No,5,4,14,Driving Without License
Gujarat,Auto Rickshaw,Green,2023,Karnataka,22,Male,Commercial,5,Rainy,Dry,Valid,5,No,,Yellow,100,44,0.38,Negative,No,2,4,19,No Helmet
Karnataka,Bike,Blue,2017,Maharashtra,64,Female,Four-Wheeler,6,Dust Storm,Dry,Valid,2,No,,Green,30,28,0.43,Negative,Yes,4,3,15,Wrong Parking
Maharashtra,Auto Rickshaw,Grey,1997,Karnataka,49,Female,Learner,2,Cloudy,Slippery,Expired,3,,Yes,Green,80,94,0.02,Negative,No,4,3,16,Overloading
Maharashtra,Bike,Silver,2011,West Bengal,24,Male,Heavy Vehicle,2,Rainy,Wet,Valid,4,No,,Yellow,100,26,0.39,Positive,Yes,1,6,3,Over-speeding
Uttar Pradesh,Bike,Red,1996,Punjab,40,Other,Heavy Vehicle,1,Clear,Slippery,Valid,2,Yes,,Yellow,50,106,0.28,Not Conducted,Yes,2,3,20,Over-speeding
Punjab,Bus,Green,2004,Maharashtra,70,Other,Learner,6,Rainy,Dry,Expired,1,Yes,No,Red,40,31,0.32,Positive,Yes,3,3,4,No Helmet
Karnataka,Auto Rickshaw,Blue,2019,Karnataka,43,Male,Four-Wheeler,8,Cloudy,Wet,Suspended,3,Yes,Yes,Green,100,112,0.06,Positive,Yes,4,2,13,Over-speeding
West Bengal,Bike,Blue,2016,Uttar Pradesh,41,Male,Two-Wheeler,8,Rainy,Wet,Suspended,5,Yes,No,Green,40,80,0.16,Negative,No,2,0,3,Driving Without License
Uttar Pradesh,Bike,Silver,2023,Gujarat,64,Female,Heavy Vehicle,2,Cloudy,Wet,Suspended,3,,Yes,Green,50,53,0.41,Negative,No,5,4,21,Over-speeding
Maharashtra,Bus,White,1999,West Bengal,64,Male,Two-Wheeler,4,Rainy,Slippery,Suspended,5,,,Green,30,36,0.48,Not Conducted,Yes,5,3,13,Overloading
Karnataka,Truck,White,2007,Tamil Nadu,35,Other,Two-Wheeler,8,Dust Storm,Dry,Suspended,1,No,Yes,Red,100,91,0.43,Not Conducted,Yes,0,2,21,Signal Jumping
West Bengal,Bus,Blue,2017,Gujarat,66,Female,Two-Wheeler,0,Dust Storm,Potholes,Expired,5,Yes,Yes,Red,100,92,0.12,Not Conducted,No,5,6,1,Signal Jumping
Delhi,Bike,Red,2023,Maharashtra,29,Male,Heavy Vehicle,7,Cloudy,Slippery,Valid,5,No,,Green,30,73,0.05,Not Conducted,No,3,1,0,Using Mobile Phone
Gujarat,Car,White,2007,Uttar Pradesh,24,Female,Heavy Vehicle,6,Cloudy,Wet,Suspended,4,,Yes,Yellow,80,33,0.19,Positive,No,1,4,2,Driving Without License
Delhi,Scooter,Green,2015,Karnataka,55,Male,Two-Wheeler,6,Dust Storm,Dry,Suspended,4,,No,Green,80,111,0.22,Not Conducted,Yes,5,4,7,Driving Without License
Maharashtra,Bus,White,2010,Tamil Nadu,35,Female,Commercial,0,Rainy,Under Construction,Suspended,5,Yes,Yes,Red,50,101,0.2,Positive,Yes,2,1,11,Drunk Driving
West Bengal,Auto Rickshaw,Red,2013,West Bengal,52,Male,Two-Wheeler,8,Cloudy,Dry,Suspended,2,Yes,No,Green,50,108,0.35,Negative,No,3,5,3,Signal Jumping
Tamil Nadu,Bike,Silver,2023,Tamil Nadu,64,Other,Four-Wheeler,0,Clear,Slippery,Suspended,1,,No,Green,50,62,0.24,Negative,Yes,4,6,16,Drunk Driving
Delhi,Scooter,Grey,2023,West Bengal,31,Other,Commercial,10,Dust Storm,Potholes,Suspended,3,Yes,Yes,Red,40,34,0.39,Not Conducted,No,5,1,20,Drunk Driving
West Bengal,Scooter,Silver,2005,Delhi,38,Male,Heavy Vehicle,2,Clear,Slippery,Expired,1,Yes,No,Red,100,30,0.11,Positive,No,2,0,1,No Seatbelt
Maharashtra,Scooter,Grey,2022,Delhi,22,Male,Heavy Vehicle,4,Foggy,Potholes,Suspended,5,,Yes,Red,100,101,0.38,Positive,No,2,3,16,Overloading
Maharashtra,Scooter,Grey,2000,Karnataka,18,Male,Heavy Vehicle,1,Cloudy,Under Construction,Expired,2,Yes,Yes,Red,60,97,0.23,Not Conducted,No,4,3,7,Overloading
West Bengal,Truck,Yellow,2001,Maharashtra,39,Other,Learner,7,Dust Storm,Slippery,Expired,3,Yes,,Green,30,108,0.26,Positive,No,0,0,3,Over-speeding
Gujarat,Auto Rickshaw,Grey,2015,Tamil Nadu,57,Male,Commercial,1,Foggy,Slippery,Expired,4,,No,Yellow,100,114,0.02,Positive,No,4,0,22,Driving Without License
Punjab,Car,Red,2004,Tamil Nadu,59,Other,Two-Wheeler,8,Foggy,Wet,Valid,2,,,Red,30,38,0.1,Negative,Yes,1,4,15,Wrong Parking
Tamil Nadu,Scooter,Grey,2017,Karnataka,28,Male,Two-Wheeler,7,Foggy,Wet,Expired,2,Yes,No,Red,80,104,0.32,Positive,Yes,1,0,19,Using Mobile Phone
Maharashtra,Scooter,Red,2020,Uttar Pradesh,57,Other,Heavy Vehicle,1,Cloudy,Potholes,Expired,5,No,Yes,Red,80,29,0.38,Positive,Yes,3,6,2,Overloading
Punjab,Bike,Green,2016,Tamil Nadu,52,Female,Heavy Vehicle,3,Cloudy,Dry,Valid,5,No,,Green,60,113,0.03,Not Conducted,No,4,1,8,Using Mobile Phone
West Bengal,Truck,Red,2006,Maharashtra,27,Male,Four-Wheeler,0,Dust Storm,Dry,Valid,3,Yes,Yes,Green,80,58,0.18,Negative,Yes,5,6,21,No Seatbelt
West Bengal,Truck,Blue,1996,Punjab,56,Female,Two-Wheeler,8,Dust Storm,Under Construction,Suspended,4,Yes,No,Green,60,105,0.48,Negative,No,1,0,15,Wrong Parking
Maharashtra,Bus,Blue,2010,Tamil Nadu,50,Male,Learner,9,Cloudy,Wet,Expired,5,No,Yes,Yellow,60,115,0.45,Negative,Yes,5,0,3,Over-speeding
Gujarat,Car,Grey,2018,Punjab,67,Other,Heavy Vehicle,7,Dust Storm,Slippery,Expired,1,No,No,Green,50,81,0.32,Negative,Yes,5,2,21,Using Mobile Phone
Karnataka,Truck,Yellow,2007,Gujarat,30,Other,Heavy Vehicle,2,Dust Storm,Under Construction,Valid,4,Yes,Yes,Yellow,40,56,0.42,Positive,Yes,3,0,9,Wrong Parking
Maharashtra,Truck,Blue,1998,Delhi,19,Other,Two-Wheeler,6,Dust Storm,Potholes,Suspended,1,,No,Yellow,80,99,0.35,Positive,Yes,0,5,23,No Seatbelt
Uttar Pradesh,Scooter,Blue,2004,Punjab,42,Other,Heavy Vehicle,5,Clear,Potholes,Expired,1,No,No,Yellow,80,31,0.04,Not Conducted,No,5,5,3,Using Mobile Phone
Tamil Nadu,Car,Blue,2017,Maharashtra,44,Other,Commercial,10,Clear,Dry,Expired,2,No,No,Yellow,80,81,0.07,Negative,No,0,1,16,No Helmet
Delhi,Bus,Green,2018,Karnataka,66,Other,Two-Wheeler,1,Dust Storm,Wet,Suspended,5,No,No,Yellow,60,45,0.14,Not Conducted,No,0,3,12,Over-speeding
Gujarat,Bus,Grey,2009,Gujarat,27,Male,Heavy Vehicle,3,Cloudy,Slippery,Expired,2,,,Yellow,100,58,0.15,Negative,No,2,1,21,Using Mobile Phone
Delhi,Bus,Blue,2013,Maharashtra,63,Female,Commercial,4,Cloudy,Potholes,Suspended,4,No,,Red,80,84,0.46,Positive,Yes,0,4,0,No Seatbelt
Uttar Pradesh,Auto Rickshaw,Black,2000,Delhi,75,Male,Commercial,4,Dust Storm,Wet,Suspended,2,,Yes,Yellow,40,58,0.04,Negative,No,2,3,10,Overloading
Maharashtra,Auto Rickshaw,Yellow,1997,West Bengal,56,Other,Heavy Vehicle,5,Foggy,Wet,Suspended,2,Yes,No,Red,30,48,0.13,Not Conducted,Yes,1,0,9,Using Mobile Phone
Delhi,Bike,Green,2022,Gujarat,64,Female,Commercial,4,Clear,Potholes,Expired,2,,Yes,Red,30,68,0.37,Positive,No,2,5,6,No Seatbelt
Uttar Pradesh,Scooter,Green,2006,West Bengal,56,Female,Heavy Vehicle,4,Rainy,Slippery,Expired,1,,Yes,Green,100,43,0.45,Not Conducted,Yes,5,1,14,Overloading
Maharashtra,Bus,Blue,2019,Uttar Pradesh,31,Other,Learner,6,Dust Storm,Potholes,Expired,4,,Yes,Yellow,50,105,0.32,Not Conducted,No,0,2,11,No Seatbelt
Uttar Pradesh,Auto Rickshaw,Black,2002,Punjab,28,Female,Four-Wheeler,2,Clear,Under Construction,Expired,4,Yes,No,Yellow,80,82,0.03,Negative,No,2,5,19,Driving Without License
Delhi,Bus,Red,2006,Karnataka,26,Female,Four-Wheeler,4,Cloudy,Potholes,Suspended,3,,,Yellow,40,118,0.13,Negative,Yes,0,3,3,Drunk Driving
Karnataka,Bus,Blue,2005,Uttar Pradesh,63,Other,Learner,0,Foggy,Under Construction,Expired,1,No,Yes,Red,40,34,0.16,Not Conducted,No,3,1,18,Drunk Driving
Karnataka,Bus,Yellow,2009,Gujarat,30,Other,Learner,9,Rainy,Slippery,Expired,5,,No,Green,60,110,0.46,Negative,Yes,3,3,15,Driving Without License
Delhi,Auto Rickshaw,Black,1995,Gujarat,74,Female,Two-Wheeler,1,Foggy,Wet,Expired,5,No,Yes,Yellow,80,116,0.31,Positive,Yes,2,2,15,Over-speeding
Uttar Pradesh,Car,Green,2001,Delhi,21,Other,Four-Wheeler,1,Dust Storm,Potholes,Suspended,5,Yes,No,Yellow,30,111,0.43,Positive,Yes,0,6,11,Drunk Driving
Punjab,Bike,Black,2018,Tamil Nadu,69,Female,Four-Wheeler,7,Rainy,Dry,Suspended,2,Yes,No,Red,50,20,0.21,Negative,No,2,5,17,Wrong Parking
Punjab,Auto Rickshaw,Green,1997,Maharashtra,55,Female,Heavy Vehicle,4,Cloudy,Wet,Expired,5,,No,Yellow,40,98,0.22,Negative,Yes,2,0,16,No Seatbelt
Uttar Pradesh,Truck,Grey,2016,Gujarat,45,Other,Commercial,6,Clear,Slippery,Valid,2,Yes,No,Yellow,50,59,0.48,Negative,No,4,4,1,Overloading
Uttar Pradesh,Bus,Yellow,1997,Karnataka,51,Other,Commercial,8,Clear,Wet,Expired,5,No,,Green,30,56,0.32,Positive,No,2,0,9,Drunk Driving
Uttar Pradesh,Auto Rickshaw,Green,1999,Maharashtra,67,Male,Commercial,7,Foggy,Potholes,Suspended,5,No,No,Green,50,62,0.49,Negative,Yes,5,3,18,Over-speeding
Karnataka,Bike,Black,2023,Karnataka,22,Other,Heavy Vehicle,6,Rainy,Wet,Expired,2,No,Yes,Red,40,35,0.21,Not Conducted,No,1,5,13,Over-speeding
Uttar Pradesh,Car,Red,2020,Maharashtra,34,Female,Heavy Vehicle,3,Rainy,Potholes,Expired,5,Yes,,Green,100,43,0.43,Positive,Yes,1,1,19,Signal Jumping
Punjab,Bus,Grey,2006,Karnataka,65,Other,Two-Wheeler,5,Cloudy,Under Construction,Expired,1,Yes,,Yellow,50,92,0.36,Negative,Yes,3,2,10,Wrong Parking
Karnataka,Car,Red,2023,Maharashtra,26,Other,Heavy Vehicle,0,Clear,Wet,Expired,4,Yes,,Red,30,57,0.16,Positive,No,2,4,8,Using Mobile Phone
Punjab,Scooter,Blue,2020,Uttar Pradesh,49,Male,Commercial,1,Foggy,Under Construction,Suspended,3,,Yes,Green,80,102,0.11,Positive,Yes,2,5,17,Drunk Driving
Maharashtra,Bus,Grey,1997,Karnataka,61,Other,Learner,6,Dust Storm,Potholes,Expired,2,Yes,No,Green,30,41,0.39,Not Conducted,No,1,6,9,Over-speeding
Karnataka,Bike,Silver,2009,Punjab,50,Male,Commercial,0,Cloudy,Potholes,Valid,1,,,Red,80,24,0.05,Negative,No,4,5,4,Over-speeding
Tamil Nadu,Bus,Grey,2003,Maharashtra,53,Other,Four-Wheeler,3,Cloudy,Slippery,Valid,3,,Yes,Yellow,80,78,0.04,Not Conducted,No,2,5,18,No Seatbelt
Gujarat,Car,White,1999,West Bengal,24,Male,Two-Wheeler,8,Foggy,Slippery,Valid,2,No,Yes,Red,40,117,0.46,Not Conducted,Yes,1,0,20,Signal Jumping
Tamil Nadu,Truck,White,2006,Karnataka,20,Female,Four-Wheeler,7,Foggy,Dry,Suspended,5,No,,Red,60,28,0.35,Negative,Yes,0,4,18,Drunk Driving
Maharashtra,Car,Grey,2021,Tamil Nadu,38,Other,Commercial,1,Clear,Potholes,Expired,2,,Yes,Green,40,73,0.47,Not Conducted,No,0,1,4,Wrong Parking
West Bengal,Truck,Blue,2020,West Bengal,75,Male,Heavy Vehicle,4,Dust Storm,Potholes,Suspended,3,No,,Yellow,100,104,0.34,Not Conducted,Yes,0,6,13,No Helmet
Gujarat,Scooter,Grey,2016,Maharashtra,49,Male,Commercial,3,Foggy,Wet,Suspended,2,,Yes,Yellow,100,36,0.19,Negative,No,0,5,10,Signal Jumping
Tamil Nadu,Car,Green,2012,Tamil Nadu,23,Female,Learner,2,Clear,Wet,Expired,2,,,Yellow,60,99,0.27,Positive,No,3,1,9,Wrong Parking
West Bengal,Bike,Red,2001,Maharashtra,58,Female,Two-Wheeler,4,Cloudy,Potholes,Expired,5,No,No,Red,40,106,0.06,Positive,No,2,3,7,Overloading
Maharashtra,Bike,White,1999,Tamil Nadu,26,Female,Learner,8,Clear,Slippery,Valid,4,No,Yes,Yellow,100,47,0.32,Not Conducted,Yes,2,2,12,Drunk Driving
Delhi,Scooter,Blue,2022,Gujarat,27,Other,Commercial,8,Rainy,Slippery,Valid,1,No,No,Red,40,61,0.21,Negative,No,3,4,18,No Helmet
Karnataka,Bus,Yellow,2009,Karnataka,69,Male,Two-Wheeler,0,Rainy,Under Construction,Valid,1,No,Yes,Yellow,60,22,0.01,Positive,No,1,5,17,Wrong Parking
Gujarat,Scooter,Silver,2020,Tamil Nadu,18,Male,Two-Wheeler,9,Dust Storm,Dry,Valid,4,Yes,,Green,40,20,0.47,Not Conducted,Yes,0,2,3,Drunk Driving
Delhi,Scooter,Red,2006,Punjab,74,Female,Two-Wheeler,8,Dust Storm,Dry,Valid,3,No,Yes,Yellow,60,97,0.04,Negative,No,0,4,23,Wrong Parking
